# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0015318	MF	e	inorganic molecular entity transmembrane transporter activity	25/336	131/2550	0.04631653055049665	3	25	1.0	1.0	1.0	1.0	amtB, arsB, atpB, btuB, cadB, clcB, codB, crcB, cyoB, dtpB, emrB, feoB, frvB, kdpB, kefB, mdtB, melB, modB, nhaB, nikB, pitB, pstB, setB, zitB, znuB
GO:0008177	MF	e	succinate dehydrogenase (ubiquinone) activity	2/336	3/2550	0.0474112184632891	5	2	1.0	1.0	1.0	1.0	frdB, sdhB
GO:0005253	MF	e	anion channel activity	2/336	3/2550	0.0474112184632891	6	2	1.0	1.0	1.0	1.0	clcB, crcB
GO:0008484	MF	e	sulfuric ester hydrolase activity	2/336	3/2550	0.0474112184632891	4	2	1.0	1.0	1.0	1.0	eptB, opgB
GO:0031992	MF	e	energy transducer activity	2/336	3/2550	0.0474112184632891	2	2	1.0	1.0	1.0	1.0	exbB, tonB
GO:0140110	MF	p	transcription regulator activity	7/336	165/2550	0.00012080546433101622	1	7	0.26589282699256667	0.2591917017945818	0.26589282699256667	0.2658928269925667	creB, cysB, hipB, phoB, qseB, rcsB, rssB
GO:0003700	MF	p	DNA-binding transcription factor activity	7/336	147/2550	0.0009562953601487175	2	7	1.0	1.0	1.0	1.0	creB, cysB, hipB, phoB, qseB, rcsB, rssB
GO:0003677	MF	p	DNA binding	28/336	299/2550	0.03653835731714838	4	28	1.0	1.0	1.0	1.0	aidB, chpB, creB, cysB, dinB, dnaB, greB, guaB, gyrB, hicB, hipB, holB, hupB, ihfB, mukB, phoB, polB, qseB, rcsB, recB, rpoB, rssB, ruvB, sbcB, sfsB, tomB, topB, uvrB
GO:0140101	MF	p	catalytic activity, acting on a tRNA	2/336	53/2550	0.038850096771183985	3	2	1.0	1.0	1.0	1.0	dusB, truB
GO:0003690	MF	p	double-stranded DNA binding	6/336	95/2550	0.04383297638361666	5	6	1.0	1.0	1.0	1.0	creB, cysB, hipB, phoB, qseB, rssB
